CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
153,CRMR,33.7,17.08 m³,22.895,5.078,146788.32,0.0347,0.15834,CRMR.98b.png
154,CRMR,33.7,17.08 m³,22.895,5.078,142922.52,0.0428,0.20578,CRMR.98c.png
155,CRMR,33.7,17.08 m³,23.947,4.687,147279.98,0.0323,0.18569,CRMR.99a.png
156,CRMR,33.7,17.08 m³,23.947,4.687,146890.51,0.0349,0.15879,CRMR.99b.png
157,CRMR,33.7,17.08 m³,23.947,4.687,143076.29,0.0429,0.20656,CRMR.99c.png
158,CRMR,33.7,17.08 m³,25.0,4.287,146510.52,0.0324,0.18564,CRMR.100a.png
151,CRMR,33.7,17.08 m³,21.842,5.46,143771.3,0.0426,0.20443,CRMR.97c.png
121,CRMR,33.7,17.08 m³,11.316,8.945,141533.8,0.0407,0.19664,CRMR.87c.png
141,CRMR,33.7,17.08 m³,18.684,6.562,147799.9,0.0339,0.15639,CRMR.94b.png
139,CRMR,33.7,17.08 m³,17.632,6.917,143279.32,0.0419,0.20139,CRMR.93c.png
123,CRMR,33.7,17.08 m³,12.368,8.617,146608.47,0.0327,0.1542,CRMR.88b.png
124,CRMR,33.7,17.08 m³,12.368,8.617,142259.41999999998,0.0409,0.19794,CRMR.88c.png
125,CRMR,33.7,17.08 m³,13.421,8.286,147611.95,0.0305,0.17657,CRMR.89a.png
126,CRMR,33.7,17.08 m³,13.421,8.286,146573.76,0.0329,0.15409,CRMR.89b.png
127,CRMR,33.7,17.08 m³,13.421,8.286,142271.07,0.0411,0.19823,CRMR.89c.png
128,CRMR,33.7,17.08 m³,14.474,7.95,147936.65,0.0307,0.17672,CRMR.90a.png
129,CRMR,33.7,17.08 m³,14.474,7.95,146878.25,0.0331,0.15431,CRMR.90b.png
140,CRMR,33.7,17.08 m³,18.684,6.562,148662.99,0.0314,0.17747,CRMR.94a.png
130,CRMR,33.7,17.08 m³,14.474,7.95,142622.25,0.0413,0.19884,CRMR.90c.png
132,CRMR,33.7,17.08 m³,15.526,7.611,147429.97,0.0333,0.15511,CRMR.91b.png
133,CRMR,33.7,17.08 m³,15.526,7.611,143221.06,0.0415,0.20003,CRMR.91c.png
134,CRMR,33.7,17.08 m³,16.579,7.266,148134.61,0.0311,0.17746,CRMR.92a.png
135,CRMR,33.7,17.08 m³,16.579,7.266,147262.47,0.0336,0.1549,CRMR.92b.png
136,CRMR,33.7,17.08 m³,16.579,7.266,143101.04,0.0417,0.2002,CRMR.92c.png
137,CRMR,33.7,17.08 m³,17.632,6.917,148351.06,0.0313,0.17671,CRMR.93a.png
138,CRMR,33.7,17.08 m³,17.632,6.917,147392.82,0.0338,0.15571,CRMR.93b.png
131,CRMR,33.7,17.08 m³,15.526,7.611,148395.61,0.0309,0.17759,CRMR.91a.png
81,CRMR,30.3,17.08 m³,18.684,6.562,161624.56,0.0365,0.17121,CRMR.74b.png
80,CRMR,30.3,17.08 m³,18.684,6.562,162799.98,0.0338,0.19262,CRMR.74a.png
79,CRMR,30.3,17.08 m³,17.632,6.917,157116.13999999998,0.045,0.22045,CRMR.73c.png
22,CRMR,22.6,11.67 m³,6.053,10.339,211828.31999999998,0.0365,0.24657,CRMR.22.png
23,CRMR,22.6,11.67 m³,7.105,10.222,213068.85,0.0368,0.24831,CRMR.23.png
24,CRMR,22.6,11.67 m³,8.158,9.907,212122.73,0.0369,0.24824,CRMR.24.png
25,CRMR,22.6,11.67 m³,9.211,9.59,211263.17,0.037,0.24633,CRMR.25.png
26,CRMR,22.6,11.67 m³,10.263,9.269,210576.28,0.0371,0.24662,CRMR.26.png
27,CRMR,22.6,11.67 m³,11.316,8.945,209512.74000000002,0.0372,0.24645,CRMR.27.png
28,CRMR,22.6,11.67 m³,12.368,8.617,208531.54,0.0372,0.24445,CRMR.28.png
21,CRMR,22.6,11.67 m³,5.0,10.339,209492.53,0.0361,0.244,CRMR.21.png
29,CRMR,22.6,11.67 m³,13.421,8.286,207718.33000000002,0.0373,0.24464,CRMR.29.png
31,CRMR,22.6,11.67 m³,15.526,7.611,205404.7,0.0375,0.24226,CRMR.31.png
32,CRMR,22.6,11.67 m³,16.579,7.266,204447.6,0.0375,0.24234,CRMR.32.png
33,CRMR,22.6,11.67 m³,17.632,6.917,203101.25999999998,0.0376,0.24196,CRMR.33.png
34,CRMR,22.6,11.67 m³,18.684,6.562,201823.0,0.0376,0.23973,CRMR.34.png
35,CRMR,22.6,11.67 m³,19.737,6.201,200696.51,0.0377,0.23968,CRMR.35.png
36,CRMR,22.6,11.67 m³,20.789,5.834,199169.5,0.0377,0.23917,CRMR.36.png
37,CRMR,22.6,11.67 m³,21.842,5.46,197697.38,0.0377,0.23679,CRMR.37.png
30,CRMR,22.6,11.67 m³,14.474,7.95,206523.25,0.0374,0.24437,CRMR.30.png
38,CRMR,22.6,11.67 m³,22.895,5.078,196361.3,0.0378,0.23658,CRMR.38.png
20,CRMR,18.4,11.67 m³,25.0,3.612,220235.69,0.043,0.26531,CRMR.20.png
18,CRMR,18.4,11.67 m³,22.895,4.412,225343.88,0.0432,0.27027,CRMR.18.png
2,CRMR,18.4,11.67 m³,6.053,9.638,251519.93,0.043,0.29075,CRMR.2.png
3,CRMR,18.4,11.67 m³,7.105,9.522,252502.03999999998,0.0433,0.2923,CRMR.3.png
4,CRMR,18.4,11.67 m³,8.158,9.212,251265.94,0.0433,0.29217,CRMR.4.png
5,CRMR,18.4,11.67 m³,9.211,8.899,249581.33,0.0433,0.2915,CRMR.5.png
6,CRMR,18.4,11.67 m³,10.263,8.582,248006.74,0.0434,0.2886,CRMR.6.png
7,CRMR,18.4,11.67 m³,11.316,8.262,246646.63999999998,0.0434,0.28837,CRMR.7.png
8,CRMR,18.4,11.67 m³,12.368,7.938,244832.61,0.0434,0.28761,CRMR.8.png
19,CRMR,18.4,11.67 m³,23.947,4.018,222774.11,0.0431,0.26893,CRMR.19.png
9,CRMR,18.4,11.67 m³,13.421,7.609,243122.58,0.0434,0.2846,CRMR.9.png
11,CRMR,18.4,11.67 m³,15.526,6.94,239656.33000000002,0.0434,0.28339,CRMR.11.png
12,CRMR,18.4,11.67 m³,16.579,6.598,237787.69999999998,0.0434,0.28027,CRMR.12.png
13,CRMR,18.4,11.67 m³,17.632,6.251,236116.81,0.0434,0.27981,CRMR.13.png
14,CRMR,18.4,11.67 m³,18.684,5.897,233972.83000000002,0.0433,0.2788,CRMR.14.png
15,CRMR,18.4,11.67 m³,19.737,5.538,231910.65000000002,0.0433,0.27553,CRMR.15.png
16,CRMR,18.4,11.67 m³,20.789,5.171,230030.3,0.0433,0.27491,CRMR.16.png
17,CRMR,18.4,11.67 m³,21.842,4.796,227657.8,0.0432,0.27373,CRMR.17.png
10,CRMR,18.4,11.67 m³,14.474,7.277,241620.24,0.0434,0.28427,CRMR.10.png
39,CRMR,22.6,11.67 m³,23.947,4.687,194393.98,0.0378,0.23366,CRMR.39.png
40,CRMR,22.6,11.67 m³,25.0,4.287,192881.72999999998,0.0378,0.23332,CRMR.40.png
41,CRMR,30.3,17.08 m³,5.0,10.339,158184.28,0.0311,0.18749,CRMR.61a.png
63,CRMR,30.3,17.08 m³,12.368,8.617,162176.69,0.0354,0.16961,CRMR.68b.png
64,CRMR,30.3,17.08 m³,12.368,8.617,157571.47,0.0442,0.21763,CRMR.68c.png
65,CRMR,30.3,17.08 m³,13.421,8.286,163134.13,0.033,0.19303,CRMR.69a.png
66,CRMR,30.3,17.08 m³,13.421,8.286,161824.85,0.0356,0.16922,CRMR.69b.png
67,CRMR,30.3,17.08 m³,13.421,8.286,157268.91999999998,0.0443,0.2176,CRMR.69c.png
68,CRMR,30.3,17.08 m³,14.474,7.95,163185.61000000002,0.0332,0.19291,CRMR.70a.png
69,CRMR,30.3,17.08 m³,14.474,7.95,161810.77000000002,0.0358,0.16996,CRMR.70b.png
62,CRMR,30.3,17.08 m³,12.368,8.617,163582.74,0.0329,0.19335,CRMR.68a.png
70,CRMR,30.3,17.08 m³,14.474,7.95,157304.52,0.0445,0.21869,CRMR.70c.png
72,CRMR,30.3,17.08 m³,15.526,7.611,162112.07,0.036,0.17057,CRMR.71b.png
73,CRMR,30.3,17.08 m³,15.526,7.611,157655.94,0.0447,0.21964,CRMR.71c.png
74,CRMR,30.3,17.08 m³,16.579,7.266,162803.06,0.0335,0.19316,CRMR.72a.png
75,CRMR,30.3,17.08 m³,16.579,7.266,161625.48,0.0362,0.17008,CRMR.72b.png
76,CRMR,30.3,17.08 m³,16.579,7.266,157219.88,0.0448,0.21948,CRMR.72c.png
77,CRMR,30.3,17.08 m³,17.632,6.917,162746.96000000002,0.0337,0.19206,CRMR.73a.png
78,CRMR,30.3,17.08 m³,17.632,6.917,161470.69,0.0363,0.17071,CRMR.73b.png
71,CRMR,30.3,17.08 m³,15.526,7.611,163388.69,0.0334,0.19359,CRMR.71a.png
61,CRMR,30.3,17.08 m³,11.316,8.945,157091.75,0.044,0.21656,CRMR.67c.png
60,CRMR,30.3,17.08 m³,11.316,8.945,161745.89,0.0352,0.16891,CRMR.67b.png
59,CRMR,30.3,17.08 m³,11.316,8.945,163248.04,0.0327,0.19257,CRMR.67a.png
42,CRMR,30.3,17.08 m³,5.0,10.339,156413.69,0.0335,0.16482,CRMR.61b.png
43,CRMR,30.3,17.08 m³,5.0,10.339,151521.44,0.0422,0.20949,CRMR.61c.png
44,CRMR,30.3,17.08 m³,6.053,10.339,160813.19,0.0316,0.18998,CRMR.62a.png
45,CRMR,30.3,17.08 m³,6.053,10.339,159081.23,0.034,0.16717,CRMR.62b.png
46,CRMR,30.3,17.08 m³,6.053,10.339,154206.13,0.0428,0.21267,CRMR.62c.png
47,CRMR,30.3,17.08 m³,7.105,10.339,163442.1,0.032,0.19247,CRMR.63a.png
48,CRMR,30.3,17.08 m³,7.105,10.339,161788.18,0.0346,0.16876,CRMR.63b.png
49,CRMR,30.3,17.08 m³,7.105,10.339,156930.23,0.0434,0.21508,CRMR.63c.png
50,CRMR,30.3,17.08 m³,8.158,9.907,162942.73,0.0321,0.19195,CRMR.64a.png
51,CRMR,30.3,17.08 m³,8.158,9.907,161279.52,0.0346,0.16834,CRMR.64b.png
52,CRMR,30.3,17.08 m³,8.158,9.907,156480.59,0.0434,0.21488,CRMR.64c.png
53,CRMR,30.3,17.08 m³,9.211,9.59,163395.94999999998,0.0323,0.19282,CRMR.65a.png
54,CRMR,30.3,17.08 m³,9.211,9.59,161827.07,0.0348,0.16914,CRMR.65b.png
55,CRMR,30.3,17.08 m³,9.211,9.59,157076.08000000002,0.0436,0.21606,CRMR.65c.png
56,CRMR,30.3,17.08 m³,10.263,9.269,163069.77999999997,0.0325,0.19259,CRMR.66a.png
57,CRMR,30.3,17.08 m³,10.263,9.269,161595.78000000003,0.035,0.16884,CRMR.66b.png
58,CRMR,30.3,17.08 m³,10.263,9.269,156893.06,0.0438,0.21613,CRMR.66c.png
159,CRMR,33.7,17.08 m³,25.0,4.287,146242.4,0.035,0.15822,CRMR.100b.png
160,CRMR,33.7,17.08 m³,25.0,4.287,142480.63,0.043,0.2063,CRMR.100c.png
